grp,tax,den,div
3,59,12000,3.5332145
3,76,19086.95652,3.523449769
3,61,8565.217391,3.623642431
3,85,93217.3913,2.246094703
3,89,79608.69565,2.380535406
3,78,102043.4783,1.904886363
3,50,16956.52174,2.865787962
3,54,14478.26087,2.720795235
3,40,13434.78261,2.507642827
3,51,12217.3913,3.254511148
3,57,17086.95652,3.204129898
3,51,12304.34783,3.069050899
3,43,9043.478261,2.899307453
3,42,7130.434783,2.962137964
3,43,8086.956522,3.235247351
3,26,3391.304348,2.913161148
3,35,3782.608696,3.21953072
3,29,2478.26087,3.204054752
3,60,17173.91304,2.833572496
3,69,16956.52174,3.010902929
3,36,11173.91304,1.892076748
3,62,16043.47826,2.697939202
3,30,6434.782609,2.801571385
3,63,16652.17391,3.016367207
3,39,6478.26087,2.990642821
3,60,15173.91304,3.379269891
3,54,8695.652174,3.461507573
3,53,19000,2.589396512
3,41,15782.6087,2.371572431
3,55,43347.82609,2.24775931
4,45,7434.782609,3.12674146
4,55,10173.91304,3.253939442
4,57,11869.56522,3.33048097
4,26,2956.521739,2.809110904
4,48,8956.521739,3.069929666
4,56,10086.95652,3.070491354
4,56,16000,2.539940836
4,34,7565.217391,2.610365102
4,51,14347.82609,2.600620119
4,76,18652.17391,3.085334641
4,71,22695.65217,2.680729135
4,94,45521.73913,2.798166964
4,34,6478.26087,2.722599263
4,41,6043.478261,3.087806074
4,30,3391.304348,2.997503107
4,82,28608.69565,3.129457542
4,29,2608.695652,3.063941429
4,89,27086.95652,3.068698552
4,84,19347.82609,3.492279133
4,113,52782.6087,2.973984844
4,76,20217.3913,3.251561266
4,41,3608.695652,3.372530419
4,27,2956.521739,2.826899881
4,43,8391.304348,3.013982842
4,41,6695.652174,3.154906644
4,48,9869.565217,3.146755214
4,31,5130.434783,2.854081246
4,68,37217.3913,2.394908778
4,56,11782.6087,2.974722603
4,68,42391.30435,2.438735647
4,49,12826.08696,2.878465067
4,18,1434.782609,2.658969359
4,46,11521.73913,2.902315251
4,26,3000,2.59485568
4,44,5130.434783,3.248251751
4,29,4043.478261,2.363669991
5,52,6695.652174,3.625407066
5,64,12826.08696,3.309929659
5,60,13304.34783,3.294938489
5,39,6347.826087,2.634102549
5,74,22043.47826,3.346728401
5,83,24434.78261,3.253295892
5,22,1521.73913,2.955980476
5,40,5000,3.219886244
5,26,2869.565217,2.683218244
5,50,5739.130435,3.537299203
5,68,14086.95652,3.544816642
5,68,11260.86957,3.514860416
5,38,4739.130435,3.266446337
5,48,6347.826087,3.394319302
5,38,3391.304348,3.394496742
5,71,30782.6087,2.513605527
5,83,35347.82609,2.351836139
5,90,47434.78261,2.839729271
5,60,11652.17391,3.53238021
5,30,3217.391304,3.038664791
5,44,7608.695652,3.340653785
5,31,6521.73913,2.555277788
5,27,3956.521739,2.774861103
5,48,22739.13043,2.066696265
5,72,36478.26087,2.656491964
5,75,31173.91304,2.732942688
5,68,22478.26087,2.393020138
5,80,21608.69565,3.657616049
5,77,23434.78261,3.301014754
5,61,10000,3.325877364
5,92,26173.91304,3.64317964
5,73,16173.91304,3.348153233
5,80,17347.82609,3.614821197
5,33,4130.434783,3.029588073
5,33,3086.956522,3.165393205
5,42,6347.826087,3.171479175
6,39,4000,3.120762978
6,34,3826.086957,2.967563862
6,29,3000,2.890329759
6,38,5391.304348,3.058186386
6,38,8695.652174,2.695743104
6,38,5521.73913,2.992801077
6,27,6869.565217,2.080283452
6,23,5086.956522,2.179625967
6,31,6434.782609,2.323395899
6,52,8173.913043,3.510854533
6,52,7478.26087,3.503800257
6,54,7043.478261,3.508594878
6,70,17217.3913,3.490405236
6,62,9217.391304,3.701247541
6,49,7130.434783,3.486448918
6,30,4000,2.957881499
6,38,12739.13043,2.313546612
6,36,5565.217391,3.166342368
6,32,4217.391304,3.093311377
6,35,3739.130435,3.14266842
6,36,5826.086957,3.191924059
6,11,1000,2.171894011
6,7,695.6521739,1.78680834
6,20,1869.565217,2.647759148
6,32,14608.69565,2.11384718
6,33,21782.6087,1.809216267
6,33,6086.956522,2.695196685
6,42,19347.82609,2.448351853
6,46,24739.13043,2.388342592
6,42,20739.13043,2.321759428
6,52,15347.82609,2.386552513
6,46,23043.47826,1.664211248
6,42,20130.43478,1.671945913
6,55,7913.043478,3.4286202
6,45,10695.65217,2.772204901
6,51,13478.26087,2.529175717
7,68,27695.65217,3.235924133
7,90,16913.04348,3.899379608
7,37,4652.173913,3.115433584
7,12,652.173913,2.395908119
7,25,2391.304348,3.061886102
7,13,1695.652174,2.204935417
7,36,4000,3.320540476
7,49,6043.478261,3.33470189
7,21,1826.086957,2.852922686
7,70,15347.82609,3.088799771
7,95,31956.52174,3.49747615
7,87,18782.6087,3.665415874
7,79,18434.78261,3.49795771
7,67,10217.3913,3.673826076
7,65,15652.17391,3.066524339
7,51,4826.086957,3.610691152
7,45,5826.086957,3.295782845
7,42,4217.391304,3.394863028
7,58,9478.26087,3.472748075
7,64,9217.391304,3.299596368
7,71,10695.65217,3.595926755
7,78,14173.91304,3.497460906
7,69,21260.86957,2.662308921
7,70,20000,3.022621567
7,45,8782.608696,2.788138757
7,60,11521.73913,3.135216676
7,59,13652.17391,2.874794951
7,55,9000,3.210791484
7,71,14913.04348,3.302312481
7,75,19391.30435,3.20083341
7,73,23739.13043,2.802906423
7,61,11608.69565,3.22970613
7,55,11695.65217,3.130398884
7,65,19043.47826,2.967769058
7,71,19043.47826,3.302144064
7,78,21391.30435,3.574499722
8,89,20478.26087,3.421877716
8,78,23826.08696,2.937405166
8,94,29478.26087,3.139780691
8,36,4521.73913,3.070426374
8,56,10347.82609,3.430391283
8,38,4739.130435,3.17844647
8,42,4695.652174,3.391256798
8,36,5434.782609,3.183521905
8,45,6695.652174,3.281575986
8,73,18782.6087,3.496569539
8,89,20652.17391,3.632460231
8,98,31434.78261,3.684916492
8,65,12956.52174,3.53159552
8,63,22043.47826,3.176368256
8,76,19391.30435,3.399861222
8,69,13826.08696,3.549376008
8,80,23478.26087,3.676859954
